according to ~,〜によれば
in order to do,〜するために
a number of ~,いくらかの〜、たくさんの〜
lead to ~,〜につながる、〜に(必然的に)発展する
work on ~,〜に取り組む
suffer from ~,〜に苦しむ、〜の病気になる
find out ~,(調べて)〜を知る、〜がわかる
ask (A) for B,(Aに)Bを求める
be on A,Aのおごりである
instead of ~,〜の代わりに、〜しないで
set up ~,〜を設置する、〜を設定する、〜を設立する
come up with ~,〜を思いつく
in particular,特に
pick A up,Aを(車で)迎えに行く[来る]
so A to do,とてもAなのでB
too A to do,あまりにAなので〜できない
~ as well,〜もまた
deal with ~,(問題)を処理する、(主題など)を扱う
make A from B,B(原料・材料)からA(製品)を作る
on time,時間通りに
provie A with B,AにBを提供する
at least,少なくとも
come out,外に出る、発売される、(真実などが)明らかになる
encourage A to do,Aに〜するよう促す[励ます]
hand in ~,〜を提出する
on the other hand,他方では、それに反して
a variety of ~,さまざまな〜
be based on ~,〜に基づいている
fill out ~,(書類)に記入する
take part in ~,〜に参加する
up to ~,〜次第で、〜に(至る)
A rather than B,BよりむしろA
be similar to ~,〜と似ている
bring back ~,〜を戻す、〜を持ち帰る
figure out ~,〜を理解する、〜をわかる
happen to do,偶然[たまたま]〜する
much [still] more ~,まして〜はいっそうそうだ
no longer ~,もはや〜でない
prevent A from doing,Aが〜するのを防ぐ
so far,これまでは
A as well as B,BだけでなくAもまた
as ~ as possible,できるだけ
by mistake,誤って
depend on [upon] ~,〜次第である、〜による
get rid of ~,〜を取り除く、〜を処分する
help (A) (to) do,(Aが)〜するのを手伝う、(Aが)〜するのに役立つ
make sure that …,･･･であることを確実にする、必ず･･･するようにする
so that A can B,AがBできるように
A enough to do,〜するほど十分Aな
along with ~,〜と一緒に
be aware of ~,〜に気づいている、〜を知っている
be concerned about ~,〜を心配している、〜を気遣っている
be related to ~,〜に関連している
carry out ~,〜を実行する
get used to ~,〜に慣れる
have [take] a look at ~,〜を見る
in place,あるべき場所に、適切で
live on ~,〜の額の収入として生活する、〜を収入源として生活する
manage to do,何とかして〜する
play an important role in ~,〜で重要な役割を果たす
prefer A to B,BよりもAの方を好む
result in ~,〜に終わる
throw away ~,〜を捨てる
turn A into B,AをBに変える
turn on ~,(スイッチなど)をつける、(ガス・水)を出す
a couple of ~,2、3の
as [so] long as …,･･･する限りは
be capable of doing,〜する能力がある、〜することができる
be involuted in ~,〜に参加している、〜に熱中している
break down (~),故障する、〜を壊す
by the end of ~,〜の終わりまでに
cut down (on) ~,〜を減らす
end up doing,最後には〜することになる、結局〜に終わる
find a way to do,〜する方法を見つける
for a while,しばらくの間
in the end,最後に(は)、結局
look up ~,(単語など)を調べる
look up to ~,〜を尊敬する
not A but B,AではなくB
refer to ~,〜に言及する、〜に関係する、〜を参照する
sell out (~),〜を売り切る、売り切れる
stop by (~),(〜に)ちょっと立ち寄る
take notes,メモを取る
take place,行われる、起こる
after all,結局(は)
all the way,ずっと、はるばる
apply for ~,〜を申し込む、〜に出願する
as if [though],まるで･･･のように
at a time,一度に
be about to do,(今にも)〜しようとしている
be made (out) of~,〜でできている、〜で作られている
become accustomed to~,〜に慣れる
before long,まもなく、すぐに
bring in ~,〜を持ち込む
by accident(chance),偶然に
by the time,〜するときまでには
check in,搭乗手続きをする、宿泊の手続きをする
come across~,〜を偶然見つける、〜に偶然出くわす
consist of~,〜で構成されている、〜から成る
due to~,〜のために、〜が原因で
except for~,〜を除いては
exchange A for B,Aをと交換する
in return (for~),(〜の)お返しに
feel like doing,〜したい気がする
for fear of~,〜を恐れて
for long,長い間
give A a hand,Aを手助けする
give in to~,〜に屈する
go into ~,〜を詳しく説明する
go with~,〜と合う、〜を調和する
had better do,〜するほうが良い
if A were to do,仮にAが〜するようなことがあれば
in addition to~,〜に加えて
in charge of~,〜を管理する
in other worlds,言い換えれば、つまり
in response to~,〜に応えて
in trouble,困った状態で
in turn,その結果
make a mistake,間違いを犯す
on (in) behalf of~,〜を代表して、〜のために
out of stock,在庫切れの
pay (give) attention to,〜に注意を払う
persuade A to do,Aを〜するように説得する
point out ~,〜を指摘する、〜を指し示す
rely on A for B,Bを求めてAを頼る
run out of~,〜を使い果たす
sign up for~,〜に申し込む、〜に登録する
stick to~,〜をやり通す、〜にくっつく
take away ~,〜を持ち去る
take ~ for granted,〜を当然のことと考える
tend to do,〜しがちである
turn in ~,〜を提出する
would rather do,むしろ〜したい
a bunch of~,たくさんの、一房の
a wide range of~,広範囲に渡る〜、様々な〜
ahead of~,〜より早く、〜に先立って
allow A to do],Aが〜するのを許す、Aが〜できる
~. and so on,(そして)〜など
as follows,次の通り
at the moment,今、現在、そのときに
be concerned with~,〜に関心がある、〜と関わる
be responsible for ~,〜の責任がある
be said to be~,〜だと言われている
be satisfied with ~,〜に満足している
behind one’s back,〜のいないところで、影で
by far,断然、ずば抜けて
by way of ~,〜経由で、〜の手段として
catch up with ~,〜に追いつく
change one’s mind,気が変わる
come to do,〜するようになる
conpare A with B,AをBを比べる
concentrate on~,〜に集中する
count on(upon)~,〜を当てにする、〜に頼る
die out,死滅する、完全に消える
do awaay with~,〜を廃止する、〜を取り除く
drop in,立ち寄る、ひょっこり訪ねる
even if (though)~,たとえ〜だとしても
ever since,それ以来、その後
find one’s way (to ~),(～に)たどり着く
for free,無料で
for lack of~,〜の不足のために
for sure,確かに、間違いなく
from now on,今後は
get along with~,〜とうまくやっていく
get over ~,〜から立ち直る、〜を克服する
in advance,前もって
in danger of~,〜の危険にさらされて
in demand,需要がある
in fashion,流行して
in general,一般に、たいてい
in reality,実は、実際には
in spite of~,〜にもかかわらず
in terms of~,〜の観点から
in time (for~),(〜に)間に合うように、やがて
in vain,無駄に、むなしく
(just) in cace~,〜するといけないから、〜に備えて
keep one’s world (promesi),約束を守る
keep up with ~,〜に遅れないでついていく
leave ~ behind,〜を置き忘れる、〜をおいていく
let A down,Aを失望させる
look through~,〜にざっと目を通す
make up for~,〜の埋め合わせをする
meet one’s needs,〜の必要性を満たす
no matter what~,何を〜しても
not only A but (also) B,AだけでなくBも
on board,(乗り物に)乗って
on (off) duty,勤務中で(勤務時間外で)
on purpose,わざと
on schedule,予定通りに
on (the an) average,概して、平均して
out of order,故障して、調子が悪くて、乱れて
pay well,給料が良い
plenty of~,多くの〜、十分な〜
put together~,(考え)をまとめ上げる、~を組み立てる
run into (across)~,〜に偶然出会う
speak out,はっきりと意見を述べる、大声で話す
stand for~,〜を我慢する、〜の意味を表す
stare at~,〜をじっと見る
turn out to be~,〜だとわかる
work out,運動する
amount to ~,総計で〜に達する
anything but ~,決して［少しも］〜でない
as for [to] ~,〜に関しては、〜はどうかと言えば
as time goes by,時間がたつにつれて
be anxious about ~,〜心配している
be at a loss,困っている、途方に暮れている
be engaged to A,Aと婚約している
be equal to ~,〜と同等である、〜と等しい
be guilty of ~,〜の罪を犯している
be known to ~,〜に知られている
be well off,裕福である
be worthy of ~,〜に値する、〜にふさわしい
beyond one’s reach,〜の届く範囲を超えて
by degrees,徐々に
by nature,生まれつき
call in ~,(医師･専門家)を呼ぶ
check out,勘定を済ませて出る、チェックアウトする
come down,(価格などが)下がる、降りてくる
decide on ~,〜を［に］決める
for a change,気分転換に
get away (from~),(〜から)離れる、逃げる
go after 〜,〜の後を追う
go along with ~,〜を支持する、〜と一緒に行く
go over ~,〜を詳しく調べる
go through ~,〜を経験する
hand down ~,〜を後世に残す、〜を伝える
hand [give] out ~,〜を配る
hold the line,電話を切らずに待つ
in a row,連続して、一列に
in a [one] sense,ある意味で
in one’s favor,〜気に入られて
in search of ~,〜をさがして、〜を求めて
in the long run,長い目で見れば
in the middle of~,〜の最中に［で］、〜の真ん中に［で］
look over ~,〜に目を通す、〜を(ざっと)調べる
lose one’s way,道に迷う
make a difference,違いを生む
make do with ~,(ありあわせのもの)で済ます
name A（B）after C,CにちなんでAを(Bと)名付ける
no more than ~,わずか〜、〜にすぎない
now that …,今はもう･･･だから
of one’s own,自分自身の
on account of ~,〜のために、〜によって
on demand,要求［請求］があり次第
on the move,発展して
on the spot,即座に、その場で
on top of ~,〜に加えて、〜の上に
out of date,時代遅れで［の］
pass on A to B,AをBに伝える
pick out ~,〜を選び出す
put out ~,〜を外に出す
refrain from doing,〜するのを慎む
rule out ~,〜を除外する
run away （from ~）,(〜から)走り去る、逃げる
send out ~,〜を多数発送［配布］する、〜を派遣する
sit back,くつろぐ、深く座る
take after ~,(親など)に似ている
take up ~,(趣味･仕事として)〜を始める
the last thing（that）…,最も･･･しそうにないこと
to one’s joy,うれしいことに
to one’s suprise,驚いたことに
turn over ~,〜を裏返す
watch out for ~,〜に気をつける、〜を油断なく見張る
what is called,いわゆる
above all,何よりも
account for ~,〜の所在がわかっている、〜(の理由)を説明する
accuse A of B,AをBのことで非難［告訴］する
as a（general）rule,通例、概して
as a matter of fact,実のところは、実際は
at any cost,どんな犠牲を払っても、どんなに費用をかけても
at random,無作為に、手当たり次第に
at（the）most,最高［最大］でも、せいぜい
at times,時々
back and forth,行ったり来たり、前後(左右)に
be acquainted with ~,〜と顔見知りである
be engaged in ~,〜に従事している
be familiar with ~,〜に精通している
be free from [of] ~,〜がない
be independent of ~,〜から独立している
be likely to do,〜しそうである
be made up of ~,〜で構成されている
be obliged to do,〜するよう義務づけられている
be reluctant to do,〜することに気が進まない
be sick of ~,〜にうんざりしている
be subject to ~,〜になりやすい、〜を受けやすい
be sure of ~,〜を確信している
be ture of ~,〜に当てはまる
be typical of ~,〜に典型的な、〜に特有の
be willing to do,進んで〜する
break into ~,〜へ(不法に)押し入る、急に〜し始める
break out,(災害･戦争などが)発生する、勃発する
bring about ~,(結果など)を招く、〜を引き起こす
bring down ~,〜を下げる、〜を落ち込ませる
bring up ~,〜を育てる
by means of ~,〜によって
by no means,決して〜でない
call off ~,〜を中止する
call on A,Aを訪ねる
care for ~,〜の世話をする、〜を好む
carry on ~,〜を続ける
（close[near]）at hand,手元に、近くに
come about,(予想外のことが)起こる、生じる
come to light,(秘密などが)明るみに出る
cope with ~,(難局･問題など)をうまく処理する
drop out,(競争から)脱落する、(活動･集団から)身を引く
enable A to do,Aが〜するのを可能にする、(主語によって)Aは〜できる
far from ~,決して〜でない、〜どころではない
for certain,確かに(は)
for good（and all）,永久に
for the time being,当分の間
get by,なんとかやっていく、通り抜ける
go off,(警報などが)鳴る
hang up,(電話)を切る
have ~ in common,共通して〜を待つ
have second thoughts,考え直す
head for ~,〜に向かう
hold up ~,(交通･生産など)を遅らせる、〜を持ち上げる
in comparison with [to]~,〜と比べると
in contrast（to ~）,(〜とは)対照的に
in detail,詳細に
in effect,事実上
in exchange for ~,〜と引き換えに
in favor of ~,〜に賛成して、〜のために
in order,順序正しく整理されて
in person,(電話･手紙などではなく)直接、じかに
in place of ~,〜の代わりに
in private,内緒で、誰もいないところで
in progress,進行中で［の］
in public,人前で、公然と
in relation to ~,〜に関して
in shape,体調が良くて
in short,手短に言えば、要するに
in the face of ~,〜に直面して、〜にもかかわらず
in the first place,そもそも、まず初めに
in the meantime,その間に
in use,使われて
（It is）no wonder（that）…,･･･は全く不思議ではない
keep [bear] ~in mind,〜を心に留める
keep in touch [contact] with ~,〜と連絡［接触］を保つ
keep off ~,〜に近寄らない、〜を避ける
keep track of ~,〜を見失わないようにする、(人の動向など)に注意している
